Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
120182,The Black Prince,Iris Murdoch,"Murdoch, Iris",Martha C. Nussbaum,"=""0142180114""","=""9780142180112""",0,3.95,Penguin Classics,Paperback,408,2003,1973,,2022/03/03,to-read,to-read (#51),to-read,,,,0,0
434,"Ghosts (The New York Trilogy, #2)",Paul Auster,"Auster, Paul",,"=""014009735X""","=""9780140097351""",0,3.59,Penguin Books,Paperback,96,1987,1986,2022/02/24,2022/02/24,,,read,,,,1,0
38362809,"Rosewater (The Wormwood Trilogy, #1)",Tade Thompson,"Thompson, Tade",,"=""0316449059""","=""9780316449052""",0,3.74,Orbit,Paperback,432,2018,2017,,2022/01/19,to-read,to-read (#50),to-read,,,,0,0
3491640,Moxyland,Lauren Beukes,"Beukes, Lauren",,"=""1770095675""","=""9781770095670""",0,3.57,Jacana Media ,Paperback,367,2008,2008,,2022/01/19,to-read,to-read (#49),to-read,,,,0,0
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""030727103X""","=""9780307271037""",0,3.59,Alfred A. Knopf,Hardcover,317,2015,2015,,2022/01/18,to-read,to-read (#48),to-read,,,,0,0
30919,Scoop,Evelyn Waugh,"Waugh, Evelyn",,"=""0141187492""","=""9780141187495""",0,3.78,Penguin Books UK,Paperback,222,2003,1938,,2022/01/17,to-read,to-read (#47),to-read,,,,0,0
23425,Status Anxiety (Vintage International),Alain de Botton,"Botton, Alain de",,"=""0375725350""","=""9780375725357""",0,3.89,Vintage,Paperback,306,2005,2004,,2022/01/03,to-read,to-read (#46),to-read,,,,0,0
37794149,"A Memory Called Empire (Teixcalaan, #1)",Arkady Martine,"Martine, Arkady",,"=""1529001587""","=""9781529001587""",0,4.11,Tor,Paperback,448,2019,2019,,2021/12/22,to-read,to-read (#45),to-read,,,,0,0
334176,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,"Russell, Mary Doria",,"=""0449912558""","=""9780449912553""",0,4.13,Ballantine Books,Paperback,419,1997,1996,,2021/12/22,to-read,to-read (#44),to-read,,,,0,0
432,"City of Glass (The New York Trilogy, #1)",Paul Auster,"Auster, Paul",,"=""0140097317""","=""9780140097313""",4,3.75,Penguin Publishing Group,Paperback,203,1987,1985,2021/12/15,2021/12/14,,,read,,,,1,0
24213,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","Martin Gardner, John Tenniel","=""""","=""""",0,4.06,Penguin Group (USA),Paperback,239,2000,1871,,2021/12/14,to-read,to-read (#43),to-read,,,,0,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Roberto González Echevarría, John Rutherford","=""""","=""""",0,3.91,Penguin Books,Paperback,1023,2003,1615,,2021/12/14,to-read,to-read (#42),to-read,,,,0,0
14142,The Art of Loving,Erich Fromm,"Fromm, Erich",,"=""0061129739""","=""9780061129735""",0,4.00,Harper Perennial Modern Classics,Paperback,180,2006,1956,,2021/12/11,to-read,to-read (#41),to-read,,,,0,0
827,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",,"=""0553380966""","=""9780553380965""",0,4.16,Spectra,Paperback,499,2000,1995,,2021/12/09,to-read,to-read (#40),to-read,,,,0,0
772888,Woman on the Edge of Time,Marge Piercy,"Piercy, Marge",,"=""0449210820""","=""9780449210826""",4,3.91,Fawcett,Mass Market Paperback,376,1985,1976,2021/11/25,2021/10/29,,,read,"This book bristles with interesting ideas, which makes me sympathetic to it. I have some minor criticisms (to do w pacing and occasionally clunky language), but these pale in comparison to the inspired and original vision of the future that this work presents. 8.5/10 would recommend",,,1,0
16241799,Seiobo There Below,László Krasznahorkai,"Krasznahorkai, László",Ottilie Mulzet,"=""0811219674""","=""9780811219679""",0,4.27,New Directions,Paperback,451,2013,2008,,2021/11/19,to-read,to-read (#39),to-read,,,,0,0
44895,Confessions of an Advertising Man,David Ogilvy,"Ogilvy, David",Alan Parker,"=""1904915019""","=""9781904915010""",0,4.00,Southbank Publishing,Paperback,208,2004,1963,,2021/11/10,to-read,to-read (#38),to-read,,,,0,0
54633172,The Promise,Damon Galgut,"Galgut, Damon",,"=""1784744069""","=""9781784744069""",0,3.84,Chatto & Windus,Hardcover,293,2021,2021,,2021/11/03,to-read,to-read (#37),to-read,,,,0,0
18423,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.10,Ace,Paperback,304,2000,1969,,2021/10/29,to-read,to-read (#36),to-read,,,,0,0
55873262,A Passage North,Anuk Arudpragasam,"Arudpragasam, Anuk",,"=""0593230701""","=""9780593230701""",0,3.70,Hogarth,Hardcover,304,2021,2021,,2021/10/09,to-read,to-read (#35),to-read,,,,0,0
193755,The Diving Bell and the Butterfly: A Memoir of Life in Death,Jean-Dominique Bauby,"Bauby, Jean-Dominique",Jeremy Leggatt,"=""0375701214""","=""9780375701214""",4,3.98,"Vintage International, New York",Paperback,132,1998,1997,2021/10/01,2021/09/22,,,read,,,,1,0
232431,Dancer from the Dance,Andrew Holleran,"Holleran, Andrew",Garth Richard Greenwell,"=""0060937068""","=""9780060937065""",0,3.98,Harper Perennial,Paperback,250,2001,1978,,2021/09/26,to-read,to-read (#34),to-read,,,,0,0
158674,Nervous Conditions,Tsitsi Dangarembga,"Dangarembga, Tsitsi",,"=""1580051340""","=""9781580051347""",0,4.04,Seal Pr,Paperback,204,2004,1988,,2021/09/25,to-read,to-read (#33),to-read,,,,0,0
11250317,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""1408816032""","=""9781408816035""",0,4.30,Bloomsbury Publishing,Hardcover,352,2011,2011,,2021/09/16,to-read,to-read (#32),to-read,,,,0,0
78728,Ignorance,Milan Kundera,"Kundera, Milan",,"=""0060002107""","=""9780060002107""",4,3.81,Harper Perennial,Paperback,195,2003,2000,2021/09/09,2021/09/09,,,read,,,,1,0
13641208,Tenth of December,George Saunders,"Saunders, George",,"=""0812993802""","=""9780812993806""",4,3.98,Random House,Hardcover,251,2013,2013,,2021/09/05,,,read,,,,2,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",0,4.03,Vintage International,Paperback,123,1989,1942,,2020/08/22,to-read,to-read (#31),to-read,,,,1,0
2855034,Nation,Terry Pratchett,"Pratchett, Terry",,"=""0061433012""","=""9780061433016""",0,4.11,Clarion Books,Roughcut,367,2008,2008,2021/08/08,2021/08/07,,,read,,,,1,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",0,4.21,Bloomsbury,Hardcover,245,2020,2020,,2021/07/06,to-read,to-read (#30),to-read,,,,0,0
16032127,Revenge,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""""","=""""",4,4.01,Picador,Paperback,162,2013,1998,2021/06/06,2021/06/10,,,read,,,,1,0
298275,Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul","Lloyd Alexander, Hayden Carruth","=""0811201880""","=""9780811201889""",0,3.93,New Directions,Hardcover,178,1969,1938,2021/06/29,2020/08/21,,,read,,,,1,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.28,Orbit,Paperback,468,2015,2015,,2021/06/09,to-read,to-read (#29),to-read,,,,0,0
37415,Their Eyes Were Watching God,Zora Neale Hurston,"Hurston, Zora Neale",,"=""0061120065""","=""9780061120060""",0,3.99,Amistad,Paperback,238,2006,1937,,2021/06/07,to-read,to-read (#28),to-read,,,,0,0
50485582,The Precipice,Toby  Ord,"Ord, Toby",,"=""1526600218""","=""9781526600219""",0,3.94,Bloomsbury Publishing,Hardcover,480,2020,2020,2021/05/17,2021/05/17,,,read,,,,1,0
302998,The Buddha of Suburbia,Hanif Kureishi,"Kureishi, Hanif",,"=""014013168X""","=""9780140131680""",4,3.75,Penguin Books,Paperback,288,1991,1990,2021/05/12,2021/05/12,,,read,,,,1,0
